A1a,A1a_L001_R1_001.fastq,A1a_L001_R2_001.fastq
A1b,A1b_L001_R1_001.fastq,A1b_L001_R2_001.fastq
A2a,A2a_L001_R1_001.fastq,A2a_L001_R2_001.fastq
A2b,A2b_L001_R1_001.fastq,A2b_L001_R2_001.fastq
A3a,A3a_L001_R1_001.fastq,A3a_L001_R2_001.fastq
A3b,A3b_L001_R1_001.fastq,A3b_L001_R2_001.fastq
A4a,A4a_L001_R1_001.fastq,A4a_L001_R2_001.fastq
A4b,A4b_L001_R1_001.fastq,A4b_L001_R2_001.fastq
A5a,A5a_L001_R1_001.fastq,A5a_L001_R2_001.fastq
A5b,A5b_L001_R1_001.fastq,A5b_L001_R2_001.fastq
B1a,B1a_L001_R1_001.fastq,B1a_L001_R2_001.fastq
B1b,B1b_L001_R1_001.fastq,B1b_L001_R2_001.fastq
B2a,B2a_L001_R1_001.fastq,B2a_L001_R2_001.fastq
B2b,B2b_L001_R1_001.fastq,B2b_L001_R2_001.fastq
B3a,B3a_L001_R1_001.fastq,B3a_L001_R2_001.fastq
B3b,B3b_L001_R1_001.fastq,B3b_L001_R2_001.fastq
B4a,B4a_L001_R1_001.fastq,B4a_L001_R2_001.fastq
B4b,B4b_L001_R1_001.fastq,B4b_L001_R2_001.fastq
B5a,B5a_L001_R1_001.fastq,B5a_L001_R2_001.fastq
B5b,B5b_L001_R1_001.fastq,B5b_L001_R2_001.fastq
C1a,C1a_L001_R1_001.fastq,C1a_L001_R2_001.fastq
C1b,C1b_L001_R1_001.fastq,C1b_L001_R2_001.fastq
C2a,C2a_L001_R1_001.fastq,C2a_L001_R2_001.fastq
C2b,C2b_L001_R1_001.fastq,C2b_L001_R2_001.fastq
C3a,C3a_L001_R1_001.fastq,C3a_L001_R2_001.fastq
C3b,C3b_L001_R1_001.fastq,C3b_L001_R2_001.fastq
C4a,C4a_L001_R1_001.fastq,C4a_L001_R2_001.fastq
C4b,C4b_L001_R1_001.fastq,C4b_L001_R2_001.fastq
C5a,C5a_L001_R1_001.fastq,C5a_L001_R2_001.fastq
C5b,C5b_L001_R1_001.fastq,C5b_L001_R2_001.fastq
D1a,D1a_L001_R1_001.fastq,D1a_L001_R2_001.fastq
D1b,D1b_L001_R1_001.fastq,D1b_L001_R2_001.fastq
D2a,D2a_L001_R1_001.fastq,D2a_L001_R2_001.fastq
D2b,D2b_L001_R1_001.fastq,D2b_L001_R2_001.fastq
D3a,D3a_L001_R1_001.fastq,D3a_L001_R2_001.fastq
D3b,D3b_L001_R1_001.fastq,D3b_L001_R2_001.fastq
D4a,D4a_L001_R1_001.fastq,D4a_L001_R2_001.fastq
D4b,D4b_L001_R1_001.fastq,D4b_L001_R2_001.fastq
D5a,D5a_L001_R1_001.fastq,D5a_L001_R2_001.fastq
D5b,D5b_L001_R1_001.fastq,D5b_L001_R2_001.fastq
E1a,E1a_L001_R1_001.fastq,E1a_L001_R2_001.fastq
E1b,E1b_L001_R1_001.fastq,E1b_L001_R2_001.fastq
E2a,E2a_L001_R1_001.fastq,E2a_L001_R2_001.fastq
E2b,E2b_L001_R1_001.fastq,E2b_L001_R2_001.fastq
E3a,E3a_L001_R1_001.fastq,E3a_L001_R2_001.fastq
E3b,E3b_L001_R1_001.fastq,E3b_L001_R2_001.fastq
E4a,E4a_L001_R1_001.fastq,E4a_L001_R2_001.fastq
E4b,E4b_L001_R1_001.fastq,E4b_L001_R2_001.fastq
E5a,E5a_L001_R1_001.fastq,E5a_L001_R2_001.fastq
E5b,E5b_L001_R1_001.fastq,E5b_L001_R2_001.fastq
F3a,F3a_L001_R1_001.fastq,F3a_L001_R2_001.fastq
F3b,F3b_L001_R1_001.fastq,F3b_L001_R2_001.fastq
F4a,F4a_L001_R1_001.fastq,F4a_L001_R2_001.fastq
F4b,F4b_L001_R1_001.fastq,F4b_L001_R2_001.fastq
